GW_id,fixture_id,finished,hometeam_id,awayteam_id,total_goals_scored,goals_by_hometeam,goals_by_awayteam,assists_by_hometeam,assists_by_awayteam,owngoals_by_hometeam,owngoals_by_awayteam,penalties_saved_hometeam,penalties_saved_awayteam,penalties_missed_hometeam,penalties_missed_awayteam,yellowcards_hometeam,yellowcards_awayteam,redcards_hometeam,redcards_awayteam,saves_hometeam,saves_awayteam
1.0,1,True,14,9,1,1,0,1,0,0,0,0,0,0,0,2,3,0,0,2,4
1.0,4,True,10,12,2,0,2,0,2,0,0,0,0,0,0,3,1,0,0,3,2
1.0,2,True,1,20,2,2,0,2,0,0,0,0,0,0,0,2,2,0,0,3,4
1.0,3,True,8,5,3,0,3,0,3,0,0,0,0,0,0,1,1,1,0,2,1
1.0,5,True,15,17,1,1,0,1,0,0,0,0,0,0,0,2,4,1,0,3,0
1.0,6,True,16,3,2,1,1,1,0,0,0,0,0,0,0,1,3,0,0,3,7
1.0,7,True,19,2,3,1,2,1,2,0,0,0,0,0,0,1,2,0,0,1,3
1.0,8,True,4,7,2,2,0,2,1,1,0,0,0,0,0,1,5,0,0,6,3
1.0,9,True,6,13,2,0,2,0,1,0,0,0,0,0,0,1,1,0,0,3,3
1.0,10,True,11,18,2,1,1,1,1,0,0,0,0,0,0,1,1,0,0,5,2
2.0,13,True,5,14,3,2,1,2,1,0,0,0,0,0,0,1,2,0,0,2,2
2.0,14,True,7,19,2,0,2,0,1,0,0,0,0,0,0,1,1,0,0,1,2
2.0,15,True,9,11,3,2,1,2,1,0,0,0,0,0,0,2,2,0,0,3,4
2.0,17,True,13,10,5,4,1,3,1,0,0,0,0,0,0,2,3,0,0,0,1
2.0,18,True,17,16,1,0,1,0,0,0,0,0,0,0,0,3,3,0,0,7,1
2.0,19,True,18,8,4,4,0,3,0,0,0,0,0,0,0,0,0,0,0,1,3
2.0,11,True,2,1,2,0,2,0,1,0,0,0,0,0,0,1,3,0,0,2,3
2.0,12,True,3,15,2,1,1,1,1,0,0,0,0,0,0,2,2,0,0,4,3
2.0,20,True,20,6,8,2,6,2,5,0,0,0,0,0,0,2,3,0,0,2,2
2.0,16,True,12,4,2,2,0,2,0,0,0,0,0,0,0,2,3,0,0,2,6
3.0,21,True,1,5,2,1,1,1,1,0,0,0,0,0,0,3,2,1,0,3,6
3.0,22,True,4,17,4,3,1,3,1,0,0,0,0,0,0,2,1,0,0,5,4
3.0,24,True,8,3,5,2,3,2,3,0,0,0,0,0,0,2,1,0,0,4,6
3.0,25,True,10,9,2,1,1,1,1,0,0,0,0,0,0,2,3,0,0,3,3
3.0,26,True,11,2,3,1,2,1,2,0,0,0,0,0,0,4,5,0,0,3,2
3.0,29,True,16,20,2,1,1,1,1,0,0,0,0,0,0,3,4,0,0,1,4
3.0,30,True,19,13,3,0,3,1,3,0,1,0,0,0,0,3,2,0,0,5,2
3.0,23,True,6,7,2,1,1,1,1,0,0,0,0,0,0,4,2,0,0,2,6
3.0,28,True,15,18,2,2,0,2,1,1,0,0,0,0,0,4,4,0,0,6,1
3.0,27,True,14,12,3,0,3,0,3,0,0,0,0,0,0,4,1,0,0,0,3
4.0,38,True,17,14,3,0,3,0,3,0,0,0,1,1,0,1,4,1,0,7,3
4.0,33,True,5,10,0,0,0,0,0,0,0,0,0,0,0,4,3,0,0,1,6
4.0,34,True,7,11,4,2,2,2,2,0,0,0,0,0,0,0,3,0,0,2,2
4.0,35,True,9,19,2,1,1,1,1,0,0,0,0,0,0,2,3,0,0,2,4
4.0,36,True,12,16,1,0,1,0,1,0,0,0,0,0,0,4,4,0,0,2,5
4.0,37,True,13,4,3,2,1,1,0,0,0,0,0,0,0,3,1,0,0,5,5
4.0,31,True,2,8,5,3,2,2,1,0,0,0,0,0,0,1,4,0,0,0,4
4.0,32,True,3,6,1,0,1,0,1,0,0,0,1,1,0,6,8,0,0,2,7
4.0,39,True,18,1,1,0,1,0,1,0,0,0,0,0,0,5,3,0,0,3,5
4.0,40,True,20,15,3,1,2,1,2,0,0,0,0,0,0,3,3,0,0,4,4
5.0,50,True,19,6,3,0,3,0,3,0,0,0,0,0,0,5,2,0,0,2,7
5.0,41,True,2,20,4,3,1,3,0,0,0,0,0,0,0,3,6,0,0,3,0
5.0,44,True,9,15,4,3,1,3,1,0,0,0,0,0,0,6,0,0,0,4,8
5.0,45,True,11,8,2,1,1,0,1,0,0,0,0,0,0,1,2,0,0,4,1
5.0,46,True,12,3,3,3,0,3,0,0,0,0,0,0,0,1,4,0,0,7,9
5.0,48,True,17,10,2,1,1,1,0,0,0,0,0,0,0,4,4,0,0,5,2
5.0,49,True,18,4,4,3,1,3,1,0,0,0,0,0,0,3,1,0,0,5,6
5.0,43,True,7,14,0,0,0,0,0,0,0,0,0,0,0,3,2,0,0,7,4
5.0,42,True,5,16,4,2,2,2,2,0,0,0,0,0,0,3,4,0,1,2,1
5.0,47,True,13,1,4,2,2,2,2,0,0,0,0,0,0,3,4,0,1,1,9
6.0,58,True,15,13,2,1,1,0,1,0,0,0,0,0,0,4,4,0,0,5,3
6.0,51,True,1,11,5,3,2,3,2,0,1,0,0,0,0,2,4,0,0,1,13
6.0,53,True,4,19,2,1,1,1,1,0,0,0,0,0,0,2,3,0,0,2,2
6.0,54,True,6,5,6,4,2,4,1,0,0,0,0,0,0,3,2,0,0,4,2
6.0,55,True,8,7,3,2,1,2,1,0,0,0,0,0,0,2,0,0,0,3,0
6.0,59,True,16,9,1,0,1,0,1,0,0,0,0,0,0,2,4,0,0,1,1
6.0,60,True,20,12,3,1,2,0,2,0,0,0,0,0,0,2,3,0,0,4,2
6.0,56,True,10,2,4,2,2,2,2,0,0,0,0,0,0,4,1,0,0,1,3
6.0,57,True,14,18,3,0,3,0,3,0,0,0,0,0,0,5,3,1,0,7,2
6.0,52,True,3,17,4,3,1,3,0,0,0,0,0,0,0,2,5,0,0,2,3
7.0,66,True,7,12,1,0,1,0,1,0,0,0,0,0,0,4,2,0,0,3,5
7.0,61,True,1,17,4,3,1,2,1,0,0,0,0,0,0,0,3,0,0,1,3
7.0,63,True,4,20,8,5,3,5,3,0,0,0,0,0,0,2,3,0,0,3,7
7.0,68,True,11,3,1,1,0,1,0,0,0,0,0,0,0,4,1,0,0,2,1
7.0,69,True,13,9,5,3,2,2,2,0,0,0,0,0,0,2,1,0,0,2,4
7.0,70,True,19,10,5,4,1,4,0,0,0,0,0,0,0,0,1,0,0,2,8
7.0,67,True,8,15,0,0,0,0,0,0,0,1,0,0,1,1,2,0,0,3,2
7.0,62,True,2,14,0,0,0,0,0,0,0,0,0,0,0,1,5,0,0,4,1
7.0,65,True,6,16,2,1,1,1,1,0,0,0,0,0,0,6,2,0,1,8,7
7.0,64,True,5,18,5,3,2,2,2,0,0,0,0,0,0,2,2,0,0,1,1
8.0,79,True,18,19,4,3,1,3,0,0,1,0,0,0,0,1,3,0,1,2,4
8.0,72,True,9,2,3,1,2,1,3,1,0,0,1,1,0,3,3,1,1,4,3
8.0,75,True,14,4,3,2,1,2,1,0,0,0,0,0,0,2,2,0,0,1,9
8.0,76,True,15,5,1,0,1,0,1,0,0,0,0,0,0,2,2,0,0,4,6
8.0,78,True,17,11,5,2,3,2,2,0,0,0,0,0,0,5,3,1,0,1,6
8.0,73,True,10,8,2,0,2,0,1,0,0,0,0,0,0,1,1,0,0,6,2
8.0,71,True,3,1,2,2,0,2,0,0,0,0,0,0,0,1,1,0,1,1,2
8.0,80,True,20,13,3,1,2,1,2,0,0,0,0,0,0,4,1,0,0,5,1
8.0,74,True,12,6,3,2,1,2,1,0,0,0,0,0,0,4,3,0,0,1,3
8.0,77,True,16,7,1,1,0,0,0,0,0,0,0,0,0,2,3,0,0,7,5
9.0,88,True,11,16,4,1,3,1,2,0,0,0,0,0,0,5,3,0,0,2,0
9.0,82,True,2,3,2,1,1,1,1,0,0,0,0,0,0,7,6,0,0,2,7
9.0,83,True,4,10,6,3,3,4,3,0,1,0,0,0,0,0,1,0,1,2,7
9.0,84,True,5,20,4,2,2,2,2,0,0,0,0,0,0,3,3,0,0,5,4
9.0,89,True,13,17,1,1,0,1,0,0,0,0,0,0,0,1,3,0,0,2,6
9.0,87,True,8,9,2,1,1,1,1,0,0,0,0,0,0,1,0,0,0,2,4
9.0,85,True,6,15,3,2,1,2,1,0,0,0,0,0,0,6,3,0,0,1,5
9.0,86,True,7,18,1,1,0,1,0,0,0,0,0,0,0,4,4,0,0,3,5
9.0,90,True,19,14,3,2,1,2,1,0,0,0,0,0,0,5,1,0,0,4,1
9.0,81,True,1,12,4,2,2,2,2,0,0,0,0,0,0,2,2,0,0,2,1
10.0,96,True,15,1,1,1,0,1,0,0,0,0,0,0,0,4,4,0,0,0,3
10.0,91,True,3,13,3,2,1,2,1,0,0,0,0,0,0,2,1,0,0,3,4
10.0,93,True,10,11,2,1,1,1,1,0,0,0,0,0,0,4,2,1,0,4,1
10.0,94,True,12,5,3,2,1,2,1,0,0,0,0,0,0,1,1,0,0,4,6
10.0,97,True,16,19,3,3,0,2,0,0,0,0,0,0,0,1,2,0,1,1,3
10.0,98,True,17,8,1,1,0,1,0,0,0,0,0,0,0,4,2,0,0,5,1
10.0,100,True,20,7,4,2,2,2,1,0,0,0,0,0,0,1,2,0,0,4,4
10.0,99,True,18,2,5,4,1,4,0,0,0,0,0,0,0,2,0,0,0,1,2
10.0,95,True,14,6,2,1,1,1,0,0,0,0,0,0,0,6,2,0,0,2,3
10.0,92,True,9,4,3,2,1,2,1,0,0,0,0,0,0,2,1,0,0,1,10
11.0,101,True,4,3,5,3,2,2,1,0,0,0,0,0,0,2,4,0,0,1,3
11.0,104,True,7,9,2,0,2,0,2,0,0,0,0,0,0,1,1,1,0,5,4
11.0,109,True,19,8,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,4,6
11.0,110,True,20,17,2,2,0,2,0,0,0,0,0,0,0,1,4,0,0,0,2
11.0,102,True,5,13,3,2,1,1,0,0,0,0,0,0,0,3,3,0,0,5,2
11.0,105,True,12,2,2,2,0,1,0,0,0,0,0,0,0,0,3,0,0,2,3
11.0,106,True,14,11,2,2,0,3,0,0,1,0,0,0,0,0,1,0,0,5,1
11.0,107,True,16,15,4,1,3,1,3,0,0,0,0,0,0,1,1,0,0,3,2
11.0,108,True,18,10,3,1,2,1,1,0,0,0,0,0,0,1,5,0,0,1,5
11.0,103,True,6,1,2,1,1,1,1,0,0,0,0,0,0,4,2,0,0,2,2
12.0,117,True,11,6,3,1,2,1,2,0,0,0,0,0,0,4,3,0,0,4,0
12.0,111,True,1,16,3,3,0,3,0,0,0,0,0,0,0,3,2,0,0,0,3
12.0,112,True,2,7,4,2,2,2,2,0,0,0,1,1,0,3,2,0,0,4,3
12.0,113,True,3,5,3,1,2,1,2,0,0,0,0,0,0,2,2,0,1,2,4
12.0,114,True,8,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,5
12.0,115,True,9,20,5,1,4,1,4,0,0,0,0,0,0,3,0,0,0,1,2
12.0,118,True,13,18,4,0,4,0,4,0,0,0,0,0,0,4,2,0,0,3,5
12.0,120,True,17,12,5,2,3,1,1,0,0,0,1,1,0,3,4,0,0,8,3
12.0,116,True,10,14,2,1,1,1,1,0,0,0,0,0,0,0,0,0,0,3,5
12.0,119,True,15,19,2,0,2,0,2,0,0,0,0,0,0,1,0,0,0,4,2
13.0,122,True,5,17,2,1,1,1,1,0,0,0,0,0,0,2,4,0,0,1,4
13.0,121,True,4,11,5,4,1,3,1,0,0,0,0,0,0,1,1,0,0,2,2
13.0,124,True,7,15,1,1,0,1,1,1,0,0,0,0,0,3,3,0,0,0,2
13.0,127,True,16,10,1,1,0,1,0,0,0,0,0,0,0,1,3,0,0,2,4
13.0,130,True,20,3,6,2,4,2,4,0,0,0,0,0,0,5,1,0,0,4,1
13.0,129,True,19,1,7,2,5,2,5,0,0,0,0,0,0,4,1,0,0,2,3
13.0,123,True,6,2,3,3,0,3,0,0,0,0,0,0,0,2,2,0,0,3,5
13.0,126,True,14,8,4,4,0,4,0,0,0,0,0,0,0,2,3,0,0,2,1
13.0,128,True,18,9,2,1,1,1,1,0,0,0,0,0,0,0,1,0,1,5,2
13.0,125,True,12,13,2,2,0,2,0,0,0,0,0,0,0,1,3,0,0,3,5
14.0,136,True,10,7,1,0,1,0,1,0,0,0,0,0,0,2,4,0,0,2,2
14.0,137,True,11,19,4,3,1,3,1,0,0,0,0,0,0,2,2,0,0,7,3
14.0,134,True,8,20,2,2,0,4,0,0,2,0,0,0,0,2,0,0,0,2,2
14.0,138,True,13,16,3,3,0,3,0,0,0,0,0,0,0,2,4,0,0,3,3
14.0,139,True,15,12,6,3,3,3,3,0,0,0,0,0,0,2,5,0,0,2,3
14.0,140,True,17,6,6,1,5,1,5,0,0,0,0,0,0,1,0,1,0,6,3
14.0,131,True,1,14,2,2,0,2,0,0,0,0,0,0,0,1,3,0,0,2,4
14.0,132,True,2,4,4,3,1,1,1,0,0,0,0,0,0,2,2,0,0,0,7
14.0,135,True,9,5,3,2,1,2,1,0,1,0,0,0,0,2,2,0,0,2,0
14.0,133,True,3,18,1,1,0,1,0,0,0,0,0,0,0,2,2,0,0,4,7
15.0,141,True,2,17,1,1,0,0,0,0,0,0,0,0,0,1,3,0,0,0,3
15.0,142,True,4,15,6,4,2,3,2,0,0,0,0,0,0,3,0,0,0,2,4
15.0,143,True,7,13,4,2,2,2,2,0,0,0,0,0,0,1,0,0,1,2,1
15.0,148,True,14,16,5,2,3,2,3,0,0,0,0,0,0,0,2,0,0,0,5
15.0,145,True,9,1,2,1,1,1,1,0,0,0,0,0,0,4,2,0,0,3,1
15.0,146,True,10,3,3,1,2,1,2,0,0,0,0,0,0,2,1,0,0,4,4
15.0,147,True,11,5,4,2,2,2,2,0,0,0,0,0,0,1,2,0,0,5,1
15.0,149,True,18,6,7,3,4,3,3,0,0,0,0,0,0,2,3,0,0,4,2
15.0,150,True,19,20,3,2,1,2,1,0,0,0,0,0,0,5,4,0,0,4,2
16.0,151,True,1,8,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,5
16.0,155,True,12,9,4,2,2,2,2,0,0,0,0,0,0,3,4,1,0,1,2
16.0,157,True,15,11,4,4,0,4,0,0,0,0,0,0,0,3,3,0,0,1,7
16.0,160,True,20,10,2,1,1,1,2,1,0,0,0,0,0,0,3,1,0,2,5
16.0,158,True,16,2,3,2,1,2,1,0,0,0,0,0,0,0,1,0,0,1,4
16.0,153,True,5,7,3,0,3,0,3,0,1,0,0,0,0,1,4,0,0,2,5
16.0,156,True,13,14,3,1,2,1,2,0,0,0,0,0,0,1,1,0,0,1,2
16.0,154,True,6,4,3,2,1,2,1,0,0,0,0,0,0,0,2,1,0,3,6
16.0,159,True,17,18,5,0,5,0,4,0,0,0,0,0,0,1,3,0,0,4,4
16.0,152,True,3,19,2,1,1,0,1,0,0,0,0,0,0,0,2,0,0,2,8
17.0,161,True,2,13,3,2,1,2,0,0,0,0,0,0,0,3,3,0,0,5,4
17.0,162,True,4,16,2,0,2,0,1,0,0,0,0,0,0,3,4,0,0,4,3
17.0,166,True,10,15,4,0,4,0,3,0,0,0,0,0,0,2,0,0,0,3,2
17.0,170,True,19,5,2,1,1,1,1,0,0,0,0,0,0,2,2,0,0,5,3
17.0,163,True,7,1,6,1,5,1,5,0,0,0,0,0,0,2,2,0,0,1,5
17.0,164,True,8,6,0,0,0,0,0,0,0,0,0,0,0,4,1,0,0,4,4
17.0,165,True,9,17,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,1,5
17.0,167,True,11,20,3,0,3,0,3,0,0,0,0,0,0,2,0,0,0,1,4
17.0,168,True,14,3,3,0,3,0,2,0,0,0,0,0,0,1,3,0,0,2,7
17.0,169,True,18,12,9,3,6,2,6,0,0,0,0,0,0,1,2,0,0,6,2
18.0,176,True,13,8,2,1,1,1,0,0,0,0,1,1,0,1,4,0,0,2,4
18.0,172,True,3,7,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,4,3
18.0,174,True,6,9,3,1,2,1,2,0,0,0,0,0,0,1,3,0,0,5,7
18.0,177,True,15,2,3,3,0,2,0,0,0,0,0,0,0,2,1,0,1,1,4
18.0,178,True,16,18,1,1,0,1,0,0,0,0,0,0,0,3,2,0,1,4,2
18.0,179,True,17,19,1,0,1,0,1,0,0,0,0,0,0,1,2,0,0,1,5
18.0,180,True,20,14,2,2,0,1,0,0,0,0,0,0,0,2,2,0,1,4,2
18.0,175,True,12,11,4,3,1,3,1,0,0,0,0,0,0,3,2,0,0,0,4
18.0,173,True,5,4,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,3,8
18.0,171,True,1,10,1,1,0,1,0,0,0,0,0,0,0,1,1,0,0,0,4
19.0,187,True,11,13,2,0,2,0,2,0,0,0,0,0,0,2,1,0,0,3,3
19.0,183,True,7,17,3,2,1,1,1,0,0,0,0,0,0,2,3,0,0,2,8
19.0,184,True,8,16,2,0,2,0,2,0,0,0,0,0,0,4,1,0,0,5,2
19.0,185,True,9,3,4,2,2,2,2,0,0,0,0,0,0,1,3,0,0,6,4
19.0,189,True,18,20,4,2,2,2,2,0,0,0,1,1,0,1,2,0,0,1,1
19.0,190,True,19,12,5,0,5,0,4,0,0,0,0,0,0,0,0,0,0,8,1
19.0,181,True,2,5,4,2,2,2,2,0,0,0,0,0,0,2,3,0,0,3,3
19.0,186,True,10,6,2,2,0,1,0,0,0,0,0,0,0,4,4,0,0,4,4
19.0,188,True,14,15,2,0,2,0,2,0,0,0,0,0,0,1,1,0,0,2,0
